"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Login","4","0","Login with incorrect password","0"
"0","","0","Login","1","0","Successful login","0"
"0","","0","Fluent Wait - More control over the wait behavior","1","0","Wait for the input field to become enabled using Fluent Wait","0"
"0","","0","Perform user interactions using Selenium ActionChains","1","0","Hover over an element and click on a revealed link","0"
"0","","0","Perform user interactions using Selenium ActionChains","1","0","Hover over a menu to reveal a submenu","0"
"0","","0","Login","5","0","Login with invalid email/password","0"
"0","","0","Login","3","0","Login with incorrect email","0"
"0","","0","Dynamic Element Handling Across Multiple Websites","1","0","Handle dynamic alert after form submission on TestAutomationCentral","0"
"0","","0","Core Concepts","1","0","Using 'find_elements' to get all the boxes on the page","0"
"0","","0","Dynamic Element Handling Across Multiple Websites","1","0","Wait for hidden element to appear on The-Internet","0"
"0","","0","Perform user interactions using Selenium ActionChains","1","0","Drag and drop an element onto a target","0"
"1","","0","Dynamic Element Handling Across Multiple Websites","0","0","Wait for dynamically enabled button on DemoQA","0"
"0","","0","Dynamic Element Handling Across Multiple Websites","1","0","Detect text color change on DemoQA button","0"
"0","","0","Perform user interactions using Selenium ActionChains","1","0","Displaying alert on right-click context menu selection","0"
"1","","0","Perform user interactions using Selenium ActionChains","0","0","Double-click a button to trigger a message","0"
"0","","0","Login","1","0","Reuse login session using cookies","0"
"0","","0","Selection from dropdown","1","0","Select multiple options from a dropdown","0"
